trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0028040995821356773,0.00768259959295392,0.00768259959295392,1.9508665995672345,space,1.9322435995563865,None,,,,,,,,,,,,,,,,,,040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
0,0,0,0,1.9670120999217033,,,,,,,,,1.953068499919027,1.9670120999217033,2.476496699731797,2.960853699594736,3.9616007995791733,3.9456732999533415,3.945689999964088,3.9616007995791733,5.46310649998486,5.447404899634421,None,2,VFLG,None,False,,,040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
1,0,1,0,5.46310649998486,,,,,,,,,5.448134999722242,5.46310649998486,5.963740199804306,6.464003599714488,7.465266699902713,7.449395599775016,7.449410599656403,7.465266699902713,8.96687089977786,8.951234699692577,['u'],1,JNKO,['u'],False,[0.10795440012589097],[0.07619859976693988],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
2,0,2,0,8.96687089977786,,,,,,,,,8.952616399619728,8.96687089977786,9.467657999601215,9.951371199917048,,10.960408199578524,10.960426299832761,10.968941499944776,,12.454389399848878,"['n', 'i']",0,NTZB,"['n', 'i']",False,"[0.24541799956932664, 0.5164890997111797]","[0.06932340003550053, 0.08600739995017648]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
3,0,3,0,12.470789099577814,,,,,,,,,12.455457899719477,12.470789099577814,12.971601799596101,13.455799499992281,14.455980599857867,14.440545999910682,14.440569499973208,14.455980599857867,15.958021799568087,15.942529199644923,"['s', 'w']",2,SOZI,"['s', 'w']",False,"[0.08169239992275834, 0.2806400000117719]","[0.088986000046134, 0.0758697995916009]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
4,0,4,0,15.958021799568087,,,,,,,,,15.943362199701369,15.958021799568087,16.458294799551368,16.95911349961534,17.960849499795586,17.94469179958105,17.94474079972133,17.960849499795586,19.462081499863416,19.446216199547052,['v'],2,XSLX,['v'],False,[0.5811938000842929],[0.0774050997570157],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
5,0,5,0,19.462081499863416,,,,,,,,,19.4472900996916,19.462081499863416,19.96251029986888,20.46301669999957,21.464308199938387,21.44864569976926,21.448660799767822,21.464308199938387,22.965969799552113,22.950289099942893,"['i', 'j']",0,USVE,"['i', 'j']",False,"[0.46141220023855567, 0.9148953002877533]","[0.08034420013427734, 0.06945979967713356]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
6,0,6,0,22.965969799552113,,,,,,,,,22.951357499696314,22.965969799552113,23.46654009958729,23.95019009988755,24.951210799627006,24.93546409998089,24.935477999970317,24.951210799627006,26.45307119982317,26.436947099864483,None,2,DFJU,None,False,,,040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
7,0,7,0,26.45307119982317,,,,,,,,,26.4382362999022,26.45307119982317,26.953790699597448,27.45435079978779,28.45527909975499,28.439236699603498,28.439252899959683,28.45527909975499,29.956900199875236,29.940951199736446,['g'],1,GPZH,['g'],False,[0.47303490014746785],[0.08245470002293587],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
8,0,8,0,29.956900199875236,,,,,,,,,29.94180679973215,29.956900199875236,30.457335899583995,30.958363799843937,31.959127999842167,31.943357899785042,31.943414399866015,31.959127999842167,33.4605254996568,33.444828799925745,['u'],1,ULOU,['u'],False,[0.22560810018330812],[0.0793682998046279],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
9,0,9,0,33.4605254996568,,,,,,,,,33.445684999693185,33.4605254996568,33.96136719966307,34.461673699785024,35.462920599617064,35.447301199659705,35.447317499667406,35.462920599617064,36.96448149997741,36.94865699997172,"['f', 'p']",2,FKDV,"['f', 'p']",False,"[0.7642341000027955, 1.0373585997149348]","[0.08493939973413944, 0.07338560000061989]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
10,0,10,0,36.96448149997741,,,,,,,,,36.94979989994317,36.96448149997741,37.464916799683124,37.96560179954395,38.966970899607986,38.950955799780786,38.95097249979153,38.966970899607986,,40.451912799850106,"['j', 'u']",1,JUQV,"['j', 'u']",False,"[0.0445702001452446, 0.2319622002542019]","[0.08643870009109378, 0.0590548999607563]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
11,0,11,0,40.468372899573296,,,,,,,,,40.453006099909544,40.468372899573296,40.969334499910474,41.45285029988736,42.45389139978215,42.43799399957061,42.43803299963474,42.45389139978215,43.955582599621266,43.93959949957207,['j'],2,JKMI,['j'],False,[0.27157780015841126],[0.06341209961101413],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
12,0,12,0,43.955582599621266,,,,,,,,,43.94068799959496,43.955582599621266,44.45634619984776,44.95696679968387,45.95805829996243,45.94230359978974,45.94232919998467,45.95805829996243,47.459523199591786,47.443228099960834,"['m', 'c']",0,MCPB,"['m', 'c']",False,"[0.1484117996878922, 0.8252658997662365]","[0.075235600117594, 0.08529740013182163]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
13,0,13,0,47.459523199591786,,,,,,,,,47.4441010998562,47.459523199591786,47.959731499664485,48.4601537999697,49.462002999614924,49.44570579985157,49.445725799538195,49.462002999614924,50.96327869966626,50.947720899712294,None,2,ONMS,None,False,,,040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
14,0,14,0,50.96327869966626,,,,,,,,,50.948288299608976,50.96327869966626,51.46407079976052,51.964647099841386,52.965749399736524,52.949924499727786,52.94993989961222,52.965749399736524,,54.45117189968005,"['r', 'e']",1,RREV,"['r', 'e']",False,"[0.08207520004361868, 0.19532349985092878]","[0.054189799819141626, 0.07761480007320642]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
15,0,15,0,54.4670053999871,,,,,,,,,54.45208219997585,54.4670053999871,54.96783719956875,55.45204759994522,56.452754699625075,56.43683759961277,56.43685319973156,56.452754699625075,57.95442359987646,57.93848319957033,"['r', 'v']",1,PVKS,"['r', 'v']",False,"[0.3251669998280704, 0.522936699911952]","[0.07682330021634698, 0.0800522998906672]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
16,0,16,0,57.95442359987646,,,,,,,,,57.93962669977918,57.95442359987646,58.454944299999624,58.95557749969885,59.95658319955692,59.94068319955841,59.94069979991764,59.95658319955692,61.4584791995585,61.44198599969968,"['h', 'k']",1,HKBL,"['h', 'k']",False,"[0.29828139999881387, 1.0403705001808703]","[0.07029050029814243, 0.06902269972488284]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
17,0,17,0,61.4584791995585,,,,,,,,,61.44279829971492,61.4584791995585,61.958935799542814,62.45922729978338,63.460676099639386,63.44452079990879,63.44455389957875,63.460676099639386,64.96211469965056,64.9462741999887,"['l', 'j']",1,LJUS,"['l', 'j']",False,"[0.40915130032226443, 0.6630766000598669]","[0.06664799991995096, 0.08150999993085861]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
18,0,18,0,64.96211469965056,,,,,,,,,64.9473462998867,64.96211469965056,65.46284169983119,65.9633220997639,66.96427669981495,66.94844559999183,66.94846129976213,66.96427669981495,68.46608469961211,68.45003419974819,"['j', 'f']",1,JFTL,"['j', 'f']",False,"[0.3239710000343621, 0.6918790000490844]","[0.07498220028355718, 0.08252379996702075]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
19,0,19,0,68.46608469961211,,,,,,,,,68.45087849954143,68.46608469961211,68.96655299980193,69.45051529956982,70.4517468996346,70.43579349992797,70.43581249983981,70.4517468996346,71.95306449988857,71.93731349986047,['e'],0,NPWX,['e'],False,[0.059546499978750944],[0.07879299996420741],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
20,0,20,0,71.95306449988857,,,,,,,,,71.93815889954567,71.95306449988857,72.45368859963492,72.95440589962527,73.95514359977096,73.93873059982434,73.93874919973314,73.95514359977096,75.45694659976289,75.4412413998507,"['b', 'a']",1,BAJD,"['b', 'a']",False,"[0.07298950012773275, 0.25216230005025864]","[0.07908569974824786, 0.07009250018745661]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
21,0,21,0,75.45694659976289,,,,,,,,,75.44225779967383,75.45694659976289,75.95850349962711,76.45808209991083,77.45922359963879,77.44358309963718,77.44359959987924,77.45922359963879,78.96085999999195,78.94483289960772,"['j', 'u']",0,WJLG,"['j', 'u']",False,"[0.22846550028771162, 0.39836789993569255]","[0.07488529989495873, 0.06188050005584955]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
22,0,22,0,78.96085999999195,,,,,,,,,78.94567869976163,78.96085999999195,79.46138979960233,79.96182399988174,80.96318839956075,80.94732989976183,80.94734809966758,80.96318839956075,82.46452109981328,82.44901519967243,"['i', 'r']",0,IRNR,"['i', 'r']",False,"[0.07509829988703132, 0.3562844996340573]","[0.07998269982635975, 0.055986900348216295]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
23,0,23,0,82.46452109981328,,,,,,,,,82.45010879961774,82.46452109981328,82.96564889978617,83.46604729956016,84.46694119973108,84.45129839982837,84.4513151999563,84.46694119973108,,85.95178609993309,['b'],2,GGPJ,['b'],False,[0.07858350034803152],[0.0732837999239564],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
24,0,24,0,85.9685922996141,,,,,,,,,85.95283099962398,85.9685922996141,86.46901689982042,86.95293609984219,87.95422039972618,87.93806379986927,87.93808049988002,87.95422039972618,89.45591779984534,89.43954679975286,['h'],0,XHFQ,['h'],False,[0.8739660996943712],[0.08289620000869036],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
25,0,25,0,89.45591779984534,,,,,,,,,89.4403636995703,89.45591779984534,89.95633979979903,90.45688769966364,91.45778649998829,91.44213999994099,91.44215639960021,91.45778649998829,92.95962699968368,92.94343389989808,['h'],1,MMKB,['h'],False,[0.30599340004846454],[0.08408810012042522],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
26,0,26,0,92.95962699968368,,,,,,,,,92.94431359972805,92.95962699968368,93.46031019976363,93.9604853997007,94.96159059973434,94.94577979994938,94.94579699961469,94.96159059973434,96.46321489987895,96.44762619957328,"['u', 'o']",0,KSDA,"['u', 'o']",False,"[0.14346899976953864, 0.514752599876374]","[0.08755300007760525, 0.06920009991154075]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
27,0,27,0,96.46321489987895,,,,,,,,,96.44995349971578,96.46321489987895,96.96466769976541,97.46455549960956,98.46554089989513,98.44993299990892,98.44994869967923,98.46554089989513,,99.95120819984004,"['f', 's']",1,FSQE,"['f', 's']",False,"[0.3241347000002861, 0.49382880004122853]","[0.08934910036623478, 0.08087139995768666]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
28,0,28,0,99.96723109995946,,,,,,,,,99.95315149985254,99.96723109995946,100.46780779957771,100.95174559997395,101.95285839959979,101.93736969958991,101.93738659983501,101.95285839959979,103.45452169980854,103.43885189993307,"['h', 'e']",0,SHSA,"['h', 'e']",False,"[0.5793389999307692, 1.012043199967593]","[0.07339629996567965, 0.09133309964090586]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
29,0,29,0,103.45452169980854,,,,,,,,,103.43969629984349,103.45452169980854,103.95505259977654,104.45565849961713,105.45723319984972,105.44108119979501,105.44109959993511,105.45723319984972,106.95827349973843,106.94235629960895,"['i', 'b']",1,IUWZ,"['i', 'b']",False,"[0.1400715997442603, 0.6189731997437775]","[0.07544889999553561, 0.07270940020680428]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
30,0,30,0,106.95827349973843,,,,,,,,,106.94342409959063,106.95827349973843,107.45899929990992,107.96011119987816,108.96086339978501,108.94519759994,108.94521859986708,108.96086339978501,110.46197069995105,110.44643829995766,"['u', 'w']",1,UWIL,"['u', 'w']",False,"[0.6534636002033949, 0.8633908000774682]","[0.08568189991638064, 0.07848670007660985]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
31,0,31,0,110.46197069995105,,,,,,,,,110.44855049997568,110.46197069995105,110.96270039957017,111.46344439964741,112.46441039955243,112.44878679979593,112.44880469981581,112.46441039955243,113.96598209999502,113.95012979954481,"['f', 'w']",1,FKMU,"['f', 'w']",False,"[0.34066969994455576, 0.9019351000897586]","[0.07814719993621111, 0.05938349990174174]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
32,0,32,0,113.96598209999502,,,,,,,,,113.95121569978073,113.96598209999502,114.46668139984831,114.95045049954206,115.95186829986051,115.9357413998805,115.93575979955494,115.95186829986051,117.4530664999038,117.43819219991565,['y'],0,DYFY,['y'],False,[0.3013963997364044],[0.08141029998660088],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
33,0,33,0,117.4530664999038,,,,,,,,,117.43931039981544,117.4530664999038,117.95366359967738,118.4545864998363,119.45575819956139,119.43976239999756,119.4397786995396,119.45575819956139,120.95702699990943,120.94134619971737,"['y', 'i']",0,YIJH,"['y', 'i']",False,"[0.20986300008371472, 0.5739063997752964]","[0.08013619994744658, 0.06961210025474429]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
34,0,34,0,120.95702699990943,,,,,,,,,120.9421644997783,120.95702699990943,121.4578101998195,121.95842399960384,122.95916139986366,122.94358219997957,122.94359859963879,122.95916139986366,124.46095229964703,124.44503389997408,"['h', 'y']",1,IVAM,"['h', 'y']",False,"[0.6510808002203703, 0.9734057998284698]","[0.0825114999897778, 0.07993170013651252]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
35,0,35,0,124.46095229964703,,,,,,,,,124.44589439965785,124.46095229964703,124.96156719978899,125.46211709966883,126.46351989964023,126.44738289993256,126.44739789981395,126.46351989964023,127.96498369984329,127.94894589995965,"['y', 'u']",1,VUFJ,"['y', 'u']",False,"[0.10230809962376952, 0.36296809976920485]","[0.07973160035908222, 0.07208020007237792]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
36,0,36,0,127.96498369984329,,,,,,,,,127.94977139960974,127.96498369984329,128.46561579965055,128.9665051996708,129.9671626999043,129.95103909960017,129.9510540999472,129.9671626999043,,131.4522555996664,"['c', 'p']",2,TBUH,"['c', 'p']",False,"[0.36082709999755025, 0.8194523002021015]","[0.08930699992924929, 0.08315439987927675]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
37,0,37,0,131.46835039975122,,,,,,,,,131.45321519998834,131.46835039975122,131.96921379957348,132.45320419967175,133.45397679973394,133.4383384999819,133.43835359998047,133.45397679973394,134.9558772998862,134.93994779977947,"['f', 'c']",1,FCPB,"['f', 'c']",False,"[0.1641436996869743, 0.3841681000776589]","[0.07449900032952428, 0.07243789965286851]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
38,0,38,0,134.9558772998862,,,,,,,,,134.94076269958168,134.9558772998862,135.45657129958272,135.95685769990087,136.95818489976227,136.94277579989284,136.94279669970274,136.95818489976227,138.46018989989534,138.44418969983235,['o'],0,UQMU,['o'],False,[0.14220550004392862],[0.07632749993354082],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
39,0,39,0,138.46018989989534,,,,,,,,,138.4451620997861,138.46018989989534,138.96048969961703,139.4605296999216,140.461199299898,140.44576219981536,140.44577859994024,140.461199299898,141.9634540998377,141.9477778999135,['n'],2,OKSX,['n'],False,[0.04729310004040599],[0.07268959982320666],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
40,0,40,0,141.9634540998377,,,,,,,,,141.94865459995344,141.9634540998377,142.4641369995661,142.9646070995368,143.9658741997555,143.95007519982755,143.95008999994025,143.9658741997555,,145.4512128997594,"['u', 'o']",1,OQOH,"['u', 'o']",False,"[0.14574679965153337, 0.3521216996014118]","[0.07519460003823042, 0.07069510035216808]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
41,0,41,0,145.46755269961432,,,,,,,,,145.45253609959036,145.46755269961432,145.96825879998505,146.4517528996803,147.45302679995075,147.43732549995184,147.43733959970996,147.45302679995075,148.9547666995786,148.93867859989405,['x'],0,NKKB,['x'],False,[0.7102294000796974],[0.07118530012667179],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
42,0,42,0,148.9547666995786,,,,,,,,,148.9397401995957,148.9547666995786,149.45527129992843,149.95601189974695,150.9570567999035,150.94152579968795,150.94154079956934,150.9570567999035,152.4585642996244,152.44274709979072,"['m', 'r']",1,MMRJ,"['m', 'r']",False,"[0.09363330015912652, 0.25168300000950694]","[0.07503489963710308, 0.09020090010017157]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
43,0,43,0,152.4585642996244,,,,,,,,,152.4438676997088,152.4585642996244,152.95904469955713,153.45957449963316,154.4605260998942,154.44480869965628,154.44482539966702,154.4605260998942,155.96233399957418,155.94640369992703,"['f', 'a']",2,FSAY,"['f', 'a']",False,"[0.7657792996615171, 0.8644693000242114]","[0.07301040040329099, 0.07167229987680912]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
44,0,44,0,155.96233399957418,,,,,,,,,155.94725719979033,155.96233399957418,156.46291039977223,156.96351579995826,157.9642628999427,157.94827909953892,157.9482991998084,157.9642628999427,159.46602329984307,159.45052749989554,"['k', 'd']",0,MQVZ,"['k', 'd']",False,"[0.48447229992598295, 0.5817017001099885]","[0.08481759997084737, 0.0878129000775516]",040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
45,0,45,0,159.46602329984307,,,,,,,,,159.45159549964592,159.46602329984307,159.9664337998256,160.45083949994296,161.45181699981913,161.43644089996815,161.43646009964868,161.45181699981913,162.95332889957353,162.93745229998603,['b'],1,OBDJ,['b'],False,[0.1675579003058374],[0.07361159985885024],040889,001,2024-11-20_15h12.06.838,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h12.11.665974 +0530,
