trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response.stopped,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.004597700200974941,0.015747100114822388,0.015747100114822388,2.451796699780971,space,2.355712699703872,None,,,,,,,,,,,,,,,,,,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
0,0,0,0,2.467097899876535,,,,,,,,,2.4530389001592994,2.467097899876535,2.9684978001751006,3.4526256998069584,4.453876500017941,4.438202700112015,4.438221000134945,4.453876500017941,6.455980899743736,6.439923699945211,"['h', 'y']","[0.35961310006678104, 0.524267400149256]","[0.0656178998760879, 0.07897769985720515]",2,LSYZ,"['h', 'y']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
1,0,1,0,6.455980899743736,,,,,,,,,6.440988100133836,6.455980899743736,6.956215600017458,7.4570414000190794,8.458013100083917,8.442365400027484,8.442385899834335,8.458013100083917,10.528590700123459,10.444294199813157,['k'],[0.5003432999365032],[0.07398390024900436],0,NYND,['k'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
2,0,2,0,10.528590700123459,,,,,,,,,10.445428300183266,10.528590700123459,11.044381800107658,11.46153899980709,12.46259680017829,12.446850399952382,12.44686619983986,12.46259680017829,14.464812399819493,14.449110799934715,"['i', 's']","[0.24976899987086654, 0.4246820998378098]","[0.06953490013256669, 0.07883390039205551]",0,ISZQ,"['i', 's']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
3,0,3,0,14.464812399819493,,,,,,,,,14.450058199930936,14.464812399819493,14.965600199997425,15.465990299824625,16.46668619988486,16.450954500120133,16.450973900035024,16.46668619988486,,18.452684899792075,"['k', 'g']","[0.1389176002703607, 0.6252532000653446]","[0.06647149985656142, 0.07012580009177327]",1,KGZT,"['k', 'g']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
4,0,4,0,18.468757300172,,,,,,,,,18.453594100195915,18.468757300172,18.969634499866515,19.453525200020522,20.45413179975003,20.438446499872953,20.43846349976957,20.45413179975003,22.45688010007143,22.44119179993868,['y'],[0.5228039999492466],[0.06770470039919019],0,KFRS,['y'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
5,0,5,0,22.45688010007143,,,,,,,,,22.44205110007897,22.45688010007143,22.95790689997375,23.458259199745953,24.459249699953943,24.44347789976746,24.443498100154102,24.459249699953943,26.461139800027013,26.44569079997018,"['x', 'z']","[0.2746682995930314, 0.8881802996620536]","[0.07382120005786419, 0.08550950000062585]",0,XHXW,"['x', 'z']",False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
6,0,6,0,26.461139800027013,,,,,,,,,26.44651129981503,26.461139800027013,26.962108499836177,27.462527299765497,28.463591900188476,28.447531799785793,28.447552899830043,28.463591900188476,30.465545400045812,30.449827999807894,['g'],[0.44648349983617663],[0.0761863999068737],2,GFYQ,['g'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
7,0,7,0,30.465545400045812,,,,,,,,,30.45064659975469,30.465545400045812,30.966372500173748,31.46674790000543,32.46793380007148,32.45205339975655,32.4520728001371,32.46793380007148,,34.45366849983111,['l'],[0.20023229997605085],[0.06483269995078444],1,FLFN,['l'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
8,0,8,0,34.4703544001095,,,,,,,,,34.454854799900204,34.4703544001095,34.970780099742115,35.454438999760896,36.45578130008653,36.43982349988073,36.43984409980476,36.45578130008653,38.457817799877375,38.44230950018391,['t'],[0.6185639002360404],[0.07693329965695739],2,YQDT,['t'],False,109840,001,2024-11-20_15h04.33.293,DelayedPartialReportMethod,2024.1.5,None,2024-11-20 15h04.39.177981 +0530,
