trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,row_cue.stopped,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.stopped,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002966600004583597,0.016771499998867512,0.016771499998867512,22.262661200016737,space,22.23999739997089,None,,,,,,,,,,,,,,,,,,631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
0,0,0,0,22.280401600059122,,,,,,,,,22.26446930016391,22.280401600059122,22.79189780005254,23.2757084001787,24.276611200068146,24.260774499969557,24.260792799992487,24.276611200068146,29.26584620005451,None,2,GSQX,None,False,,,,631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
1,0,1,0,29.345059199957177,,,,,,,,,29.26689269999042,29.345059199957177,29.849424400134012,30.266649400116876,31.26789030013606,31.252195399953052,31.252213899977505,31.26789030013606,36.257872899994254,"['s', 'f', 's', 'k', 'l']",1,CBRS,"['s', 'f', 's', 'k', 'l']",False,36.27316790004261,"[1.1768394000828266, 1.180036500096321, 1.767891600029543, 1.7734894000459462, 1.8329640999436378]","[0.3003473998978734, 0.07055879989638925, 0.28350099991075695, 0.3076092000119388, 0.22477460000663996]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
2,0,2,0,36.27316790004261,,,,,,,,,36.258861700072885,36.27316790004261,36.77405730006285,37.27431660005823,38.27481390000321,38.25925810006447,38.259283300023526,38.27481390000321,43.26467439997941,['f'],2,ATAK,['f'],False,,[1.2509463999886066],[0.22854980011470616],631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
3,0,3,0,43.28104320005514,,,,,,,,,43.265944600105286,43.28104320005514,43.78192450013012,44.265605200082064,45.26687100017443,45.25062549998984,45.25064039998688,45.26687100017443,50.25661729997955,"['v', 'q']",0,VQOT,"['v', 'q']",False,50.27247090009041,"[0.634949600091204, 1.1102905999869108]","[0.2767010999377817, 0.26218670001253486]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
4,0,4,0,50.27247090009041,,,,,,,,,50.257937600137666,50.27247090009041,50.77267930004746,51.27340140007436,52.27421690011397,52.25849370006472,52.258511499967426,52.27421690011397,57.263358999975026,"['i', 'a']",0,IAUC,"['i', 'a']",False,,"[0.79508710000664, 1.1640130998566747]","[0.23321099998429418, 0.22422900004312396]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
5,0,5,0,57.27980999997817,,,,,,,,,57.26482779998332,57.27980999997817,57.78053980018012,58.26434970018454,59.265273600118235,59.24975590012036,59.24977009999566,59.265273600118235,64.25517460005358,"['g', 'c']",2,GGGW,"['g', 'c']",False,64.27074209996499,"[1.1897980999201536, 1.4720568000338972]","[0.21057120012119412, 0.2734836000017822]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
6,0,6,0,64.27074209996499,,,,,,,,,64.25600769999437,64.27074209996499,64.771319600055,65.2712554000318,66.27285649999976,66.25719180004671,66.25720780016854,66.27285649999976,71.26296310010366,"['x', 'x', 'a']",0,YAEX,"['x', 'x', 'a']",False,71.27859700005502,"[0.28973179985769093, 1.0384267000481486, 1.4802528000436723]","[0.15261770016513765, 0.23145389999262989, 0.2634832998737693]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
7,0,7,0,71.27859700005502,,,,,,,,,71.26405700016767,71.27859700005502,71.77894530002959,72.2633873000741,73.26407669996843,73.24833760014735,73.2483514000196,73.26407669996843,78.25399690004997,"['h', 'z']",1,HZZR,"['h', 'z']",False,78.26944970013574,"[0.04716219985857606, 0.5004501999355853]","[0.22441410017199814, 0.3540668999776244]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
8,0,8,0,78.26944970013574,,,,,,,,,78.25503230001777,78.26944970013574,78.77001500013284,79.27125350013375,80.27190400008112,80.25638570007868,80.25640060007572,80.27190400008112,85.26127570006065,"['q', 'a']",0,OAWB,"['q', 'a']",False,85.27734380005859,"[0.3717912998981774, 0.9254618999548256]","[0.2805574000813067, 0.23756120004691184]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
9,0,9,0,85.27734380005859,,,,,,,,,85.26214710017666,85.27734380005859,85.77799620013684,86.26190389995463,87.26295160013251,87.24636590015143,87.24638570006937,87.26295160013251,92.25256550009362,"['h', 'i']",0,HHIN,"['h', 'i']",False,92.26840559998527,"[0.22942009987309575, 0.49453140003606677]","[0.24162250012159348, 0.198830499779433]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
10,0,10,0,92.26840559998527,,,,,,,,,92.2536437001545,92.26840559998527,92.76866280008107,93.26951820007525,94.2708743000403,94.2547073001042,94.25472430000082,94.2708743000403,99.26025170017965,"['c', 'v']",2,CCLN,"['c', 'v']",False,99.27628490002826,"[1.5709381999913603, 1.9047767000738531]","[0.2103142999112606, 0.23142239986918867]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
11,0,11,0,99.27628490002826,,,,,,,,,99.26110610016622,99.27628490002826,99.77654380002059,100.27781800017692,101.27805860014632,101.26251170015894,101.26253050006926,101.27805860014632,106.267881100066,"['q', 'j']",0,QJVK,"['q', 'j']",False,,"[0.9944637999869883, 1.3507110998034477]","[0.28174609993584454, 0.2341636000201106]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
12,0,12,0,106.28407329996116,,,,,,,,,106.26877319999039,106.28407329996116,106.78464410011657,107.26814790000208,108.26900129998103,108.254101900151,108.25412419997156,108.26900129998103,113.25928140012547,"['e', 'f']",0,EFND,"['e', 'f']",False,113.27473650011234,"[0.26285529998131096, 0.5629990000743419]","[0.2559874001890421, 0.27570020011626184]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
13,0,13,0,113.27473650011234,,,,,,,,,113.26021390012465,113.27473650011234,113.77556250011548,114.27577479998581,115.2772588999942,115.26114910002798,115.2611630000174,115.2772588999942,120.26584240002558,"['o', 'l']",1,OLYW,"['o', 'l']",False,,"[0.18132570013403893, 0.5246776000130922]","[0.23865829990245402, 0.2768035000190139]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
14,0,14,0,120.28232070012018,,,,,,,,,120.26691150013357,120.28232070012018,120.78296600002795,121.2673061999958,122.2689402999822,122.2522243000567,122.25233420007862,122.2689402999822,127.25813239999115,"['j', 'p']",1,JPEW,"['j', 'p']",False,127.27365210000426,"[0.24142410000786185, 1.0864973000716418]","[0.23680160008370876, 0.2055043000727892]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
15,0,15,0,127.27365210000426,,,,,,,,,127.25895940000191,127.27365210000426,127.77407360007055,128.2747653000988,129.27620570012368,129.26003040000796,129.26004620012827,129.27620570012368,134.26543779997155,"['p', 's', 'e', 't']",0,FTTC,"['p', 's', 'e', 't']",False,,"[0.4990254999138415, 0.8572547000367194, 1.2489724999759346, 1.7387788998894393]","[0.29232640005648136, 0.2710945999715477, 0.3069271999411285, 0.24743050010874867]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
16,0,16,0,134.28097030008212,,,,,,,,,134.26643880014308,134.28097030008212,134.781890100101,135.26598959998228,136.26686810003594,136.2509312001057,136.25094579998404,136.26686810003594,141.25691640004516,"['g', 'l']",2,GLMF,"['g', 'l']",False,141.2730556000024,"[0.44470609980635345, 0.7695505998563021]","[0.24572450015693903, 0.2468242000322789]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
17,0,17,0,141.2730556000024,,,,,,,,,141.25798010011204,141.2730556000024,141.77275440003723,142.27346890000626,143.27524530002847,143.2591248000972,143.25914010009728,143.27524530002847,148.26366350008175,"['f', 's']",2,AFTI,"['f', 's']",False,,"[1.5880483998917043, 1.8487576998304576]","[0.2706975000910461, 0.3230583001859486]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
18,0,18,0,148.279840500094,,,,,,,,,148.2646163001191,148.279840500094,148.78051870013587,149.2643685999792,150.26569820009172,150.24948929995298,150.2495144000277,150.26569820009172,155.25515610002913,"['v', 'x']",1,RSYT,"['v', 'x']",False,155.27108740014955,"[0.5868780999444425, 1.281751099973917]","[0.20823090011253953, 0.26144960010424256]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
19,0,19,0,155.27108740014955,,,,,,,,,155.25596490013413,155.27108740014955,155.7717289000284,156.27221420011483,157.27445120015182,157.25774869997986,157.2577631000895,157.27445120015182,162.2633124999702,"['t', 'v']",0,TVLG,"['t', 'v']",False,162.27975039999,"[0.23198449984192848, 0.9346354999579489]","[0.2622624000068754, 0.2139222000259906]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
20,0,20,0,162.27975039999,,,,,,,,,162.26423860015348,162.27975039999,162.78004910005257,163.2632872001268,164.26433070003986,164.24891820014454,164.24893270013854,164.26433070003986,169.25453589996323,"['d', 'd']",2,ZJQG,"['d', 'd']",False,169.27006460004486,"[0.7826347998343408, 1.0014686998911202]","[0.1781517001800239, 0.1590716999489814]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
21,0,21,0,169.27006460004486,,,,,,,,,169.25563840009272,169.27006460004486,169.7704275001306,170.27135960012674,171.27245070016943,171.25661580008455,171.25663150008768,171.27245070016943,176.26157580013387,"['a', 'r']",2,ARMP,"['a', 'r']",False,176.27779390010983,"[0.1001995000988245, 0.5362098000478]","[0.23982249991968274, 0.24557500006631017]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
22,0,22,0,176.27779390010983,,,,,,,,,176.26238460000604,176.27779390010983,176.77811910002492,177.26213859999552,178.26300400006585,178.2474456001073,178.2474601001013,178.26300400006585,183.25290660001338,"['o', 'f', 'g']",1,OGIM,"['o', 'f', 'g']",False,183.26847240002826,"[0.08234720001928508, 0.4188799001276493, 1.1035587000660598]","[0.2562086000107229, 0.23870210000313818, 0.24165250011719763]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
23,0,23,0,183.26847240002826,,,,,,,,,183.2537708999589,183.26847240002826,183.7691379999742,184.26959090004675,185.27125970018096,185.25513250008225,185.2551470999606,185.27125970018096,190.26108650001697,"['g', 'b']",0,GBLW,"['g', 'b']",False,190.2762327999808,"[0.2671032000798732, 0.5253800000064075]","[0.23787509999237955, 0.20087939989753067]",631606,001,2024-11-17_23h40.23.855,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 23h40.28.502993 +0530,
