trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,letter_grid.stopped,row_cue.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,row_cue.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.003414799924939871,0.02168800006620586,0.02168800006620586,13.520887600025162,space,13.343211200088263,None,,,,,,,,,,,,,,,,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
0,0,0,0,13.549409700091928,,,,,,,,,13.523851400008425,13.549409700091928,14.057186200050637,14.537412700010464,15.58496979996562,15.584996599936858,15.604734800057486,20.527694900054485,['b'],[1.2982397999148816],[0.08858409989625216],0,BRKI,['b'],False,,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
1,0,1,0,20.549572099931538,,,,,,,,,20.53145379992202,20.549572099931538,21.061187300132588,21.52729670004919,22.51421370008029,22.514232400106266,22.528833199990913,27.521917199948803,['z'],[1.340030899969861],[0.11441979999653995],2,MGHZ,['z'],False,22.528833199990913,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
2,0,2,0,27.540223099989817,,,,,,,,,27.523281400091946,27.540223099989817,28.051543300040066,28.534718099981546,29.520880399970338,29.520922899944708,29.53654620004818,34.52696790010668,['n'],[0.9287084001116455],[0.07547249994240701],0,ZVVT,['n'],False,29.53654620004818,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
3,0,3,0,34.54493850003928,,,,,,,,,34.5286475000903,34.54493850003928,35.04329170007259,35.527588800061494,36.513188699958846,36.51320639997721,36.52796579990536,41.519261500099674,['x'],[0.6414774998556823],[0.10594690009020269],2,WVXJ,['x'],False,36.52796579990536,41.53965139994398,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
4,0,4,0,41.53965139994398,,,,,,,,,41.52088010008447,41.53965139994398,42.05042660003528,42.53474200004712,43.52002880000509,43.52004859992303,43.536856200080365,48.5265822999645,['r'],[1.0026225000619888],[0.11152569996193051],0,BFGQ,['r'],False,43.536856200080365,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
5,0,5,0,48.541341400006786,,,,,,,,,48.52856740006246,48.541341400006786,49.057999399956316,49.524502200074494,50.51226280000992,50.51228090003133,50.52849830011837,55.518234099959955,['u'],[0.8202506999950856],[0.08302619983442128],0,UNNJ,['u'],False,50.52849830011837,55.536286500049755,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
6,0,6,0,55.536286500049755,,,,,,,,,55.51999910012819,55.536286500049755,56.05144300009124,56.53253530012444,57.519343399908394,57.51935960003175,57.53480900009163,62.52374200010672,"['t', 'r']","[1.145783199928701, 1.3706963998265564]","[0.0827269998844713, 0.07298359996639192]",0,TIAN,"['t', 'r']",False,57.53480900009163,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
7,0,7,0,62.54144629999064,,,,,,,,,62.52568789990619,62.54144629999064,63.05787439993583,63.523515900131315,64.51387510006316,64.51390099991113,64.52667349996045,69.51756820012815,"['w', 'm']","[1.5217311000451446, 2.194706200156361]","[0.13171890005469322, 0.08248659991659224]",0,WMLW,"['w', 'm']",False,64.52667349996045,69.53138720011339,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
8,0,8,0,69.53138720011339,,,,,,,,,69.51936009991914,69.53138720011339,70.03314559999853,70.53314780001529,71.51801909995265,71.51805710000917,71.53438200009987,76.52371480013244,['w'],[0.6451900000683963],[0.10597959998995066],0,HBBQ,['w'],False,71.53438200009987,,758368,001,2024-11-17_12h00.19.545,DelayedPartialReportMethod,2024.1.5,None,2024-11-17 12h00.36.912350 +0530,
