trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,letter_grid.started,row_cue.started,letter_grid.stopped,row_cue.stopped,trial.stopped,response_routine.started,response_routine.stopped,response.keys,response.rt,response.duration,Cued Row,Correct Row,Participant Response,Is Correct,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.002715999959036708,0.021795099833980203,0.021795099833980203,15.820155199849978,space,15.778997499961406,None,,,,,,,,,,,,,,,,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
0,0,0,0,15.97689659986645,,,,,,,,,15.822501599788666,15.97689659986645,16.320432299980894,16.489784399978817,17.32479829993099,17.30778929986991,17.307822299888358,22.3128833998926,"['d', 'f']","[1.9168896998744458, 2.1403677999041975]","[0.06662190007045865, 0.10768520017154515]",2,HCRU,"['d', 'f']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
1,0,1,0,22.339066399959847,,,,,,,,,22.316721400013193,22.339066399959847,22.828100599814206,22.844715299783275,23.83055129996501,23.81762279989198,23.817653799895197,28.81947599980049,['s'],[1.2783313000109047],[0.09527439996600151],1,RTBR,['s'],False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
2,0,2,0,28.840473199961707,,,,,,,,,28.821390299824998,28.840473199961707,29.318662399891764,29.354041599901393,30.32071979995817,30.304004499921575,30.30403169989586,35.311133299954236,"['y', 'r']","[1.3959743999876082, 1.5730916999746114]","[0.10487899999134243, 0.06843640003353357]",0,YRXF,"['y', 'r']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
3,0,3,0,35.32820489979349,,,,,,,,,35.312397099798545,35.32820489979349,35.825623399810866,35.84254079987295,36.827876299852505,36.81040959991515,36.8104350999929,41.81937879999168,"['a', 's']","[1.2436403001192957, 1.461490800138563]","[0.09866350004449487, 0.09997990005649626]",2,ASCJ,"['a', 's']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
4,0,4,0,41.83813159982674,,,,,,,,,41.82108899997547,41.83813159982674,42.33377769985236,42.35088069993071,43.33563639991917,43.31900139991194,43.319024899974465,48.32224789983593,"['e', 'e', 'a', 'a']","[1.5076764998957515, 1.6847194998990744, 1.9275380000472069, 2.1085498998872936]","[0.09604780003428459, 0.07871160004287958, 0.09494269988499582, 0.12668159999884665]",2,EEAA,"['e', 'e', 'a', 'a']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
5,0,5,0,48.345910399919376,,,,,,,,,48.32399159995839,48.345910399919376,48.82311349990778,48.85737149999477,49.82630049996078,49.80742949992418,49.80744289979339,54.813719999976456,['e'],[1.4659090000204742],[0.09558879979886115],2,WIJN,['e'],False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
6,0,6,0,54.83021039981395,,,,,,,,,54.81510869995691,54.83021039981395,55.32926349993795,55.32926349993795,56.33335899980739,56.31588349980302,56.315907599870116,61.32189709995873,['z'],[1.9007580999750644],[0.09591130004264414],2,MBFT,['z'],False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
7,0,7,0,61.34009279985912,,,,,,,,,61.3237664999906,61.34009279985912,61.821247699903324,61.85688989982009,62.82452559983358,62.81007110001519,62.81011259998195,67.81084069982171,"['t', 'w']","[0.6905943001620471, 0.9055440002121031]","[0.0951910000294447, 0.09006969979964197]",2,TWGJ,"['t', 'w']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
8,0,8,0,67.83004509983584,,,,,,,,,67.81306849978864,67.83004509983584,68.32919909991324,68.32919909991324,69.32889229990542,69.31407510000281,69.31411649985239,74.32045749993995,"['y', 'f']","[1.134034899994731, 1.4940667999908328]","[0.07849139999598265, 0.0907407000195235]",0,YFOK,"['y', 'f']",False,529125,001,2024-11-17_10h42.38.955,PartialReportMethod,2024.1.5,None,2024-11-17 10h42.50.537718 +0530,
