trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp_2.started,introduction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,letter_grid.started,row_cue.started,letter_grid.stopped,row_cue.stopped,trial.stopped,response_routine.started,response_routine.stopped,response.keys,Cued Row,Correct Row,Participant Response,Is Correct,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.003366400022059679,0.021063599968329072,0.021063599968329072,23.27694289991632,space,23.23121009999886,None,,,,,,,,,,,,,,,,639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
0,0,0,0,23.30348809994757,,,,,,,,,23.28339589992538,23.30348809994757,23.780956299975514,23.814101699972525,24.281284000026062,24.265719400020316,24.265802099835128,29.27149589988403,None,1,LFKX,None,False,,,639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
1,0,1,0,29.379301599925384,,,,,,,,,29.276179099921137,29.379301599925384,29.787812900030985,29.887810199987143,30.28828509990126,30.272437299834564,30.272473599994555,35.27709749992937,"['j', 'w']",0,JUNV,"['j', 'w']",False,"[1.3801593999378383, 1.7720892999786884]","[0.2055091999936849, 0.2328941999003291]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
2,0,2,0,35.298180599929765,,,,,,,,,35.28082689992152,35.298180599929765,35.777481799945235,35.81090629985556,36.278211399912834,36.26259069982916,36.262622399954125,41.26781350001693,"['z', 'r']",0,ZRVC,"['z', 'r']",False,"[2.550445499829948, 3.015037899836898]","[0.23445029999129474, 0.22711049998179078]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
3,0,3,0,41.28873909986578,,,,,,,,,41.27060669986531,41.28873909986578,41.78432899992913,41.801169799873605,42.28503569983877,42.2692869999446,42.26932379999198,47.27432249998674,None,2,JEMR,None,False,,,639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
4,0,4,0,47.29219860001467,,,,,,,,,47.27623049984686,47.29219860001467,47.79075149982236,47.8073066000361,48.29156049992889,48.276060099946335,48.27609879989177,53.28010559990071,"['j', 'j', 'i', 'u']",2,JJIU,"['j', 'j', 'i', 'u']",False,"[1.3384253999684006, 1.5322048999369144, 1.7655416999477893, 2.172895499970764]","[0.11108359997160733, 0.15523140016011894, 0.1462256999220699, 0.1714361000340432]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
5,0,5,0,53.29822429991327,,,,,,,,,53.28270830004476,53.29822429991327,53.78009729995392,53.813939299900085,54.28148019989021,54.26604549982585,54.26607949985191,59.27066199993715,"['c', 's']",2,CSVE,"['c', 's']",False,"[3.467795800184831, 4.013725400203839]","[0.21223619999364018, 0.23013159981928766]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
6,0,6,0,59.2865297999233,,,,,,,,,59.272910699946806,59.2865297999233,59.78762059984729,59.78762059984729,60.2881205000449,60.272503699874505,60.272538600023836,65.27771179983392,"['l', 'e']",1,LEXI,"['l', 'e']",False,"[2.861536300042644, 3.4442806001752615]","[0.220628899987787, 0.24895829986780882]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
7,0,7,0,65.29433949990198,,,,,,,,,65.28032859996893,65.29433949990198,65.77701610000804,65.79410759988241,66.27782509988174,66.26225339993834,66.2622878998518,71.26774159981869,"['i', 'j']",1,IJDV,"['i', 'j']",False,"[0.9798673999030143, 1.3490911999251693]","[0.20117169991135597, 0.1630814999807626]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
8,0,8,0,71.2879377999343,,,,,,,,,71.27038030000404,71.2879377999343,71.78375599998981,71.80082020000555,72.28417410003021,72.26875479985029,72.26878759986721,77.2740199000109,"['p', 'a']",2,PAEK,"['p', 'a']",False,"[0.943942700047046, 1.3510420001111925]","[0.2998846999835223, 0.26343640009872615]",639051,001,2024-11-17_15h10.11.700,PartialReportMethod,2024.1.5,None,2024-11-17 15h10.19.181379 +0530,
