trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,letter_grid.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.008899200009182096,0.014176900032907724,0.014176900032907724,3.038955699885264,space,3.0061205001547933,None,,,,,,,,,,,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
0,0,0,0,3.065972700016573,,,,,,,,,3.042996200034395,3.065972700016573,3.5470501000527292,3.5470821999479085,3.563439399935305,8.553466900018975,"['j', 'v', 'v', 'p']","[1.0919830999337137, 1.8517096999567002, 2.0537719998974353, 2.5634383999276906]","[0.10527850012294948, 0.11168069997802377, 0.13209480000659823, 0.18625440006144345]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
1,0,1,0,8.579804700100794,,,,,,,,,8.556460099993274,8.579804700100794,9.05380310001783,9.053850800031796,9.070210200035945,14.042271800106391,"['s', 'y', 'd', 'q']","[1.218454600078985, 1.5114398000296205, 1.6995445000939071, 2.2084455001167953]","[0.18792290007695556, 0.15769290016032755, 0.23150729993358254, 0.25972789991647005]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
2,0,2,0,14.05815690010786,,,,,,,,,14.043712599901482,14.05815690010786,14.543195100035518,14.543231700081378,14.560296500101686,19.548723800107837,"['q', 'j', 'w', 'c']","[1.5869322000071406, 2.1468116000760347, 2.77227979991585, 3.2933201999403536]","[0.28067829995416105, 0.19128569983877242, 0.24723220011219382, 0.270039499970153]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
3,0,3,0,19.684330000076443,,,,,,,,,19.552921399939805,19.684330000076443,20.048436699900776,20.048465400002897,20.06609779992141,25.054568599909544,"['a', 'j', 'w', 'o']","[1.509921200107783, 2.352685800055042, 2.795461399946362, 3.5011559000704437]","[0.23126269993372262, 0.15019989991560578, 0.23095010011456907, 0.2276152998674661]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
4,0,4,0,25.07434569997713,,,,,,,,,25.05721089988947,25.07434569997713,25.555020000087097,25.555074699921533,25.57242299988866,30.543818000005558,"['s', 'p', 'f', 'v']","[1.3611141999717802, 1.5300878998823464, 2.2794557998422533, 2.5920718000270426]","[0.2135260000359267, 0.17760789999738336, 0.2061050001066178, 0.17370799998752773]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
5,0,5,0,30.562070700107142,,,,,,,,,30.546633600024506,30.562070700107142,31.04512139991857,31.04515970009379,31.06126970006153,36.049348999978974,"['p', 'b', 'n', 'f']","[0.8389336001127958, 1.2143262000754476, 1.468145600054413, 1.7999121001921594]","[0.17963230004534125, 0.14197809994220734, 0.12471850006841123, 0.13148139999248087]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
6,0,6,0,36.067100499989465,,,,,,,,,36.05276930006221,36.067100499989465,36.55091329989955,36.550948600051925,36.566725000040606,41.539285599952564,"['d', 'z', 'c', 'v']","[1.4026103999931365, 2.2511724000796676, 2.899460499873385, 3.592594699934125]","[0.2623006999492645, 0.24644010001793504, 0.22333860001526773, 0.19978970009833574]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
7,0,7,0,41.55781059991568,,,,,,,,,41.54260180005804,41.55781059991568,42.039774500066414,42.03980519995093,42.056422299938276,47.04483989998698,"['f', 't', 'p', 'q']","[1.0324553998652846, 1.309235799824819, 1.7511693998239934, 2.0258453998249024]","[0.1520060000475496, 0.21035860013216734, 0.22805230016820133, 0.2278913001064211]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
8,0,8,0,47.06121139996685,,,,,,,,,47.04670779989101,47.06121139996685,47.54645140003413,47.54649060009979,47.56245389999822,52.55223000003025,"['z', 'i', 't', 'l']","[1.5515803000889719, 2.1352478000335395, 2.4015293000265956, 2.5867036001291126]","[0.2502008001320064, 0.175626200158149, 0.23846600018441677, 0.2053203999530524]",,076667,001,2024-11-17_13h51.34.282,WholeReportMethod,2024.1.5,None,2024-11-17 13h51.40.356009 +0530,
