trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,introduction.started,text.started,key_resp.started,introduction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,letter_grid.started,trial.stopped,response_routine.started,response.started,response_routine.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.0025936998426914215,0.01872469997033477,0.01872469997033477,39.622022499796,space,39.492319900076836,None,,,,,,,,,,538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
0,0,0,0,39.641564399935305,,,,,,,,,39.624612299958244,39.641564399935305,40.13084979983978,40.13089819997549,40.14684770000167,45.1361282998696,None,,,538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
1,0,1,0,45.16675259987824,,,,,,,,,45.141374999890104,45.16675259987824,45.636613899841905,45.63665509992279,45.65397549979389,50.6252105999738,"['f', 's', 'l', 'd']","[1.74753910000436, 2.1615822000894696, 2.9025553001556545, 3.70480199996382]","[0.10978169995360076, 0.0704413999337703, 0.08855809993110597, 0.08490590006113052]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
2,0,2,0,50.74165699980222,,,,,,,,,50.62847399991006,50.74165699980222,51.12631919980049,51.12636249978095,51.14265119982883,56.131004199851304,"['z', 'y', 'h']","[1.735599699895829, 2.5410116999410093, 4.162492499919608]","[0.11750070005655289, 0.0955715999007225, 0.09213129989802837]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
3,0,3,0,56.14725979999639,,,,,,,,,56.133052199846134,56.14725979999639,56.63239599997178,56.63243849994615,56.650021199835464,61.637538799783215,"['r', 'x', 'y']","[1.7853705000597984, 2.5266148999799043, 3.86024979990907]","[0.10692239995114505, 0.09663680009543896, 0.10136560001410544]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
4,0,4,0,61.65565239987336,,,,,,,,,61.64030689978972,61.65565239987336,62.13846159982495,62.13850669981912,62.15466219978407,67.12709659989923,"['v', 'l', 'v']","[1.8530849998351187, 2.6871329999994487, 3.4010893998201936]","[0.11903239996172488, 0.11035159998573363, 0.10972609999589622]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
5,0,5,0,67.14639049977995,,,,,,,,,67.12989489990287,67.14639049977995,67.62780209979974,67.62783669983037,67.64425019989721,72.6334809998516,"['x', 'g']","[2.2707231000531465, 3.1513195000588894]","[0.11146840010769665, 0.10949459997937083]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
6,0,6,0,72.64971119980328,,,,,,,,,72.63535019988194,72.64971119980328,73.13357269996777,73.13364469981752,73.1504616998136,78.12261589989066,"['w', 'a', 'q']","[2.151924999896437, 2.7095260999631137, 3.745414799777791]","[0.10857659997418523, 0.08490849984809756, 0.08461670018732548]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
7,0,7,0,78.13918769988231,,,,,,,,,78.12537499982864,78.13918769988231,78.62349379993975,78.6235319999978,78.63979259994812,83.6283786999993,"['j', 'j', 'v', 'y']","[2.4992005000822246, 2.7522717001847923, 3.3894272001925856, 3.9901765000540763]","[0.11912059993483126, 0.12470169994048774, 0.10832959995605052, 0.08927370002493262]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
8,0,8,0,83.64605819992721,,,,,,,,,83.63135899999179,83.64605819992721,84.12890219991095,84.12893799995072,84.1455218999181,89.13374739978462,"['x', 'k', 'k', 'r']","[1.460277299862355, 3.2991466999519616, 3.4844504999928176, 4.080358099890873]","[0.10842250008136034, 0.09549489989876747, 0.08901019999757409, 0.0928507000207901]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
9,0,9,0,89.1500267998781,,,,,,,,,89.1364252998028,89.1500267998781,89.63583739986643,89.63589889998548,89.65255259978585,94.6239212998189,"['t', 'e', 'x']","[2.816033700015396, 3.5163296000100672, 4.158059800043702]","[0.11948259989731014, 0.09966919990256429, 0.10450349980965257]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
10,0,10,0,94.6414383999072,,,,,,,,,94.62683629989624,94.6414383999072,95.12455509998836,95.12459939997643,95.140926099848,100.13018239988014,"['y', 'k', 'g', 'a']","[1.7159734999295324, 2.4689276998396963, 3.115662399912253, 3.689591399859637]","[0.07599480007775128, 0.1020373001229018, 0.10599160008132458, 0.10494230012409389]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
11,0,11,0,100.14815979986452,,,,,,,,,100.13382409978658,100.14815979986452,100.6306404999923,100.63070519990288,100.64812009991147,105.63614789978601,"['u', 'v', 'g', 'a']","[1.7042336000595242, 2.2358848999720067, 2.956016100011766, 3.3993897000327706]","[0.12174999993294477, 0.10551159991882741, 0.1095847999677062, 0.09485320001840591]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
12,0,12,0,105.65418019983917,,,,,,,,,105.63911339989863,105.65418019983917,106.13691709982231,106.13695019995794,106.15312219993211,111.1246118999552,"['g', 'l', 'r', 'c']","[1.500312800053507, 2.1436689998954535, 2.6806884000543505, 4.0999757999088615]","[0.10079950001090765, 0.10613830015063286, 0.09173220000229776, 0.09938820009119809]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
13,0,13,0,111.1409008000046,,,,,,,,,111.12638069991954,111.1409008000046,111.62642869981937,111.62645739992149,111.6428419998847,116.63202859996818,"['m', 'i', 'w', 'x']","[2.0208881001453847, 2.406130800023675, 3.5561103001236916, 4.431824899977073]","[0.09892879985272884, 0.12261880002915859, 0.09796429984271526, 0.10531380004249513]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
14,0,14,0,116.64940749993548,,,,,,,,,116.63500399980694,116.64940749993548,117.13218799978495,117.13223839993589,117.14861629996449,122.13745459984057,"['t', 'z', 'v']","[2.533203999977559, 3.0497169999871403, 3.8141800998710096]","[0.09808439994230866, 0.11706590000540018, 0.1105812001042068]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
15,0,15,0,122.1553614998702,,,,,,,,,122.14129739999771,122.1553614998702,122.63792259991169,122.63798059988767,122.65583349997178,127.62919809995219,"['i', 'z', 'w', 's']","[1.7242040000855923, 2.4678194001317024, 3.5868073001038283, 4.016156499972567]","[0.11867820005863905, 0.10539799998514354, 0.09563979995436966, 0.08606320014223456]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
16,0,16,0,127.64718669978902,,,,,,,,,127.63203749991953,127.64718669978902,128.12784019997343,128.12787989992648,128.1440201997757,133.13329919986427,"['k', 'i', 'z', 'n']","[1.484686000039801, 1.7468286999501288, 2.625333699863404, 3.2015644998755306]","[0.10190039989538491, 0.08602720010094345, 0.10865500010550022, 0.09761350019834936]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
17,0,17,0,133.15030939993449,,,,,,,,,133.13593409978785,133.15030939993449,133.63382479990833,133.63387779984623,133.65088949981146,138.62314699986018,"['u', 'k', 'n', 'l']","[1.5967835001647472, 2.0956321000121534, 2.7207806000951678, 3.062774700112641]","[0.08567559998482466, 0.09009760012850165, 0.09199219988659024, 0.09667439991608262]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
18,0,18,0,138.63902199990116,,,,,,,,,138.62628209986724,138.63902199990116,139.12281609978527,139.12287379987538,139.13935549999587,144.12901649996638,"['d', 's', 'i', 'c']","[1.8912096999119967, 2.3203304999042302, 3.314536300022155, 3.802051399834454]","[0.10219980007968843, 0.08605420007370412, 0.08848259993828833, 0.10959810018539429]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
19,0,19,0,144.1465616999194,,,,,,,,,144.13189179985784,144.1465616999194,144.62914039986208,144.62919839983806,144.6453942998778,149.63450699998066,"['p', 'u', 'c', 'x']","[2.0860234999563545, 2.6501255999319255, 4.154002299997956, 4.488685899879783]","[0.12526699993759394, 0.12226750003173947, 0.10899119987152517, 0.1161778001114726]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
20,0,20,0,149.65250629978254,,,,,,,,,149.6373616999481,149.65250629978254,150.13522709999233,150.1352801998146,150.15140899992548,155.12306529982015,"['v', 'a', 'u', 'h']","[1.8839296998921782, 2.3833302999846637, 3.010685099987313, 4.022702699992806]","[0.11624119989573956, 0.10599549999460578, 0.09722230001352727, 0.1052411999553442]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
21,0,21,0,155.13955109985545,,,,,,,,,155.1253515998833,155.13955109985545,155.62431259988807,155.6244842999149,155.64082879992202,160.6300425999798,"['f', 'm', 'b', 'k']","[1.5272955999244004, 2.3575573000125587, 2.972350599942729, 3.4625510999467224]","[0.08329039998352528, 0.11999700008891523, 0.09903310006484389, 0.07812550012022257]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
22,0,22,0,160.64782239985652,,,,,,,,,160.63296359986998,160.64782239985652,161.13206849992275,161.13210009993054,161.14709949982353,166.1360710998997,"['e', 'v', 'g', 'y']","[1.4998180998954922, 2.064446199918166, 2.5582500998862088, 2.87200600001961]","[0.08648970001377165, 0.11792730004526675, 0.09096539998427033, 0.08367389999330044]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
23,0,23,0,166.15351679991,,,,,,,,,166.1388585998211,166.15351679991,166.63699629995972,166.63703599991277,166.6533669999335,171.62528709997423,"['v', 'i', 'i', 'x']","[1.5280043000821024, 2.232867400161922, 2.4109881001058966, 2.980607000179589]","[0.12053550011478364, 0.07603239989839494, 0.08276710007339716, 0.11388439987786114]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
24,0,24,0,171.64393339981325,,,,,,,,,171.62798399990425,171.64393339981325,172.12613429990597,172.12616739980876,172.1427304998506,177.13203719980083,"['z', 'u', 't']","[2.031050299992785, 2.8707665000110865, 3.233421199955046]","[0.12808869988657534, 0.10603779996745288, 0.11244309996254742]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
25,0,25,0,177.14931779983453,,,,,,,,,177.13456219993532,177.14931779983453,177.63227259996347,177.6323037999682,177.64946039998904,182.63751909998246,"['z', 'o', 's', 'n']","[1.2510251000057906, 1.8791535999625921, 2.496961100026965, 3.036135299829766]","[0.14870599983260036, 0.10183499986305833, 0.11914999992586672, 0.09463960002176464]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
26,0,26,0,182.6573629998602,,,,,,,,,182.64016009983607,182.6573629998602,183.1382267998997,183.1382790999487,183.1545832999982,188.1269354999531,"['d', 'c', 'f', 'r']","[1.4869480999186635, 2.009143899893388, 2.3367043000180274, 2.706291399896145]","[0.11600359994918108, 0.10721210017800331, 0.10679910006001592, 0.12853160011582077]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
27,0,27,0,188.14480039989576,,,,,,,,,188.12974439980462,188.14480039989576,188.62774509983137,188.62777759996243,188.64404489984736,193.63349979999475,"['c', 'q', 'h', 'x']","[1.6973506000358611, 2.2038826001808047, 3.763937200186774, 4.760496100177988]","[0.10775630013085902, 0.1326055999379605, 0.11204239982180297, 0.12378289992921054]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
28,0,28,0,193.6507927000057,,,,,,,,,193.63622699980624,193.6507927000057,194.13352159992792,194.1335642999038,194.15012059989385,199.12216359982267,"['o', 'g', 'f', 'a']","[2.0415172001812607, 2.5771857001818717, 3.1889813002198935, 3.554131500190124]","[0.11581259989179671, 0.10415799985639751, 0.09478769986890256, 0.1098585999570787]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
29,0,29,0,199.13996749999933,,,,,,,,,199.12482439982705,199.13996749999933,199.6233551998157,199.62339859991334,199.6395110997837,204.6283942000009,"['x', 'k', 'v']","[1.5464784000068903, 2.520114199956879, 3.06018040003255]","[0.1136224998626858, 0.11161489994265139, 0.11136139999143779]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
30,0,30,0,204.64559369999915,,,,,,,,,204.6309684999287,204.64559369999915,205.12851649988443,205.1285496999044,205.1453702999279,210.13458559988067,"['v', 'k', 'v', 'i']","[2.676441099960357, 3.3764233998954296, 3.84563949983567, 4.25300159980543]","[0.10468970006331801, 0.10462040011771023, 0.09376080008223653, 0.11244980012997985]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
31,0,31,0,210.152542399941,,,,,,,,,210.13732959982008,210.152542399941,210.63478869991377,210.63483389979228,210.65221129986458,215.62340059992857,"['y', 'u', 'c']","[2.462688400177285, 3.5310084000229836, 4.52982970001176]","[0.12330959993414581, 0.11808180017396808, 0.12078430014662445]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
32,0,32,0,215.63971719983965,,,,,,,,,215.62579869991168,215.63971719983965,216.1246426999569,216.12467959988862,216.14120609988458,221.1300373999402,"['y', 'q']","[2.88312999997288, 3.6613525999709964]","[0.12056239997036755, 0.1145786999259144]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
33,0,33,0,221.14692999981344,,,,,,,,,221.13290269998834,221.14692999981344,221.63024579989724,221.63027269998565,221.6487028999254,226.6360454999376,"['n', 'd', 'u', 'd']","[1.9116312998812646, 2.5005447999574244, 2.815185699844733, 3.091544699855149]","[0.1336453000549227, 0.10605139983817935, 0.11668900004588068, 0.11788440006785095]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
34,0,34,0,226.6538359997794,,,,,,,,,226.6386402999051,226.6538359997794,227.13687149994075,227.13690129993483,227.15332959988154,232.12524169986136,"['e', 'm', 'c']","[1.8015257001388818, 3.0350977999623865, 3.800861099967733]","[0.12460529990494251, 0.11390240001492202, 0.10499280015937984]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
35,0,35,0,232.1412685997784,,,,,,,,,232.12722009979188,232.1412685997784,232.62620609998703,232.62624719995074,232.64301409991458,237.631535399938,"['b', 'h']","[2.065182900056243, 2.9114836999215186]","[0.11701129982247949, 0.10737759992480278]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
36,0,36,0,237.64840659988113,,,,,,,,,237.63420059997588,237.64840659988113,238.13252249988727,238.1325785999652,238.1484834998846,243.1377789999824,"['a', 'q', 'c', 'u']","[1.4322039999533445, 1.9521034001372755, 2.3964670000132173, 2.993979699909687]","[0.15468240017071366, 0.12479559984058142, 0.10830019996501505, 0.1052915002219379]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
37,0,37,0,243.1551614999771,,,,,,,,,243.14053869992495,243.1551614999771,243.6382658998482,243.63831419986673,243.65556439990178,248.62689689989202,"['k', 's', 'p']","[1.8834989999886602, 2.61824469990097, 4.461935400031507]","[0.12531109992414713, 0.1469019001815468, 0.122329399921]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
38,0,38,0,248.64480789983645,,,,,,,,,248.62944189994596,248.64480789983645,249.1275757998228,249.1276247999631,249.14400709979236,254.13363789999858,"['d', 'i', 'g', 's']","[1.5026138999965042, 1.962553600082174, 2.8432360999286175, 3.2348166999872774]","[0.10994560015387833, 0.11088779987767339, 0.1171885000076145, 0.09973559994250536]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
39,0,39,0,254.15079029998742,,,,,,,,,254.13645489979535,254.15079029998742,254.63367439992726,254.63374289986677,254.65121299983002,259.6223927999381,"['l', 'g', 'p', 'a']","[1.6399445999413729, 2.112334599951282, 2.6820402001030743, 2.905661500059068]","[0.12110780016519129, 0.10197660000994802, 0.0960075999610126, 0.08888819999992847]",538039,001,2024-11-18_09h38.49.105,WholeReportMethod,2024.1.5,None,2024-11-18 09h38.57.645272 +0530,
